location_inc,territory_name,year,bd_best,bd_low,bd_high,battle_location,region
"Tajikistan, Kyrgyzstan",Common Border,2021,56,56,56,"Tajikistan, Kyrgyzstan",Asia
"Tajikistan, Kyrgyzstan",Common Border,2022,152,152,158,"Tajikistan, Kyrgyzstan",Asia
Burkina Faso,Islamic State,2019,78,73,137,Burkina Faso,Africa
Burkina Faso,Islamic State,2020,160,131,182,Burkina Faso,Africa
Burkina Faso,Islamic State,2021,170,152,176,Burkina Faso,Africa
Burkina Faso,Islamic State,2022,404,254,422,Burkina Faso,Africa
Jordan,Islamic State,2016,34,34,35,"Jordan, Syria",Middle East
Turkey,Islamic State,2016,1107,1102,1107,"Syria, Iraq, Turkey",Middle East
Turkey,Islamic State,2017,750,683,902,"Syria, Turkey",Middle East
Turkey,Islamic State,2015,26,26,27,"Syria, Turkey",Middle East
India,Garoland,2012,27,23,27,India,Asia
India,Garoland,2014,26,23,32,India,Asia
Sudan,Abyei,2011,145,145,145,Sudan,Africa
South Sudan,,2016,735,734,1155,South Sudan,Africa
South Sudan,,2017,484,478,684,"South Sudan, Uganda",Africa
South Sudan,,2018,526,497,727,South Sudan,Africa
South Sudan,,2019,110,102,188,South Sudan,Africa
South Sudan,,2020,58,49,135,South Sudan,Africa
South Sudan,,2021,188,188,209,South Sudan,Africa
South Sudan,,2011,216,216,326,South Sudan,Africa
South Sudan,,2012,137,137,137,South Sudan,Africa
South Sudan,,2013,926,926,2318,South Sudan,Africa
South Sudan,,2014,1667,719,2993,South Sudan,Africa
South Sudan,,2015,493,492,522,South Sudan,Africa
Libya,,2017,308,308,337,Libya,Africa
Libya,,2019,1588,1381,1664,Libya,Africa
Libya,,2020,668,564,784,Libya,Africa
Libya,,2011,3762,3722,6285,Libya,Africa
Libya,,2013,31,17,61,Libya,Africa
Libya,,2014,274,274,274,Libya,Africa
Libya,,2015,156,156,190,Libya,Africa
Mali,,2016,96,96,111,Mali,Africa
Mali,,2017,312,303,414,Mali,Africa
Mali,,2018,402,375,435,Mali,Africa
Mali,,2019,422,421,566,Mali,Africa
Mali,,2020,517,498,650,Mali,Africa
Mali,,2021,616,578,660,Mali,Africa
Mali,,2022,1113,1095,1246,"Mali, Burkina Faso",Africa
Mali,,2009,87,54,93,Mali,Africa
Mali,,2012,87,83,270,Mali,Africa
Mali,,2013,836,836,1004,"Mali, Niger",Africa
Mali,,2014,95,95,129,Mali,Africa
Mali,,2015,74,72,109,Mali,Africa
"South Sudan, Sudan",Common border,2012,367,367,1099,"South Sudan, Sudan",Africa
China,East Turkestan,2008,36,36,39,China,Asia
Bangladesh,,2005,62,61,68,Bangladesh,Asia
Bangladesh,,2006,57,57,58,Bangladesh,Asia
Ethiopia,Amhara,2019,27,27,27,Ethiopia,Africa
Israel,Southern Lebanon,1990,42,42,45,Lebanon,Middle East
Israel,Southern Lebanon,1991,28,28,31,Lebanon,Middle East
Israel,Southern Lebanon,1992,87,87,120,"Lebanon, Argentina, Israel",Middle East
Israel,Southern Lebanon,1993,124,124,186,"Lebanon, Israel",Middle East
Israel,Southern Lebanon,1994,82,71,120,Lebanon,Middle East
Israel,Southern Lebanon,1995,74,71,85,"Lebanon, Israel",Middle East
Israel,Southern Lebanon,1996,95,93,103,"Lebanon, Israel",Middle East
Israel,Southern Lebanon,1997,82,82,90,Lebanon,Middle East
Israel,Southern Lebanon,1998,54,54,56,Lebanon,Middle East
Israel,Southern Lebanon,1999,41,41,42,Lebanon,Middle East
Israel,Southern Lebanon,2006,857,855,1160,"Lebanon, Israel",Middle East
Pakistan,Islamic State,2016,68,68,68,Pakistan,Asia
Pakistan,Islamic State,2017,80,80,81,Pakistan,Asia
Pakistan,Islamic State,2018,51,51,51,Pakistan,Asia
Pakistan,Islamic State,2019,29,29,29,Pakistan,Asia
Pakistan,Islamic State,2021,26,26,26,Pakistan,Asia
Pakistan,Islamic State,2022,29,25,30,"Afghanistan, Pakistan",Asia
Ethiopia,Hararghe,1991,100,100,100,Ethiopia,Africa
Iran,Kurdistan,2016,30,30,137,"Iraq, Iran",Middle East
Iran,Kurdistan,2018,44,33,78,"Iraq, Iran",Middle East
Iran,Kurdistan,1990,31,31,335,Iran,Middle East
Iran,Kurdistan,1993,110,110,110,"Iraq, Iran",Middle East
Iran,Kurdistan,1996,27,27,29,"Iraq, Iran",Middle East
Philippines,,1989,822,801,885,Philippines,Asia
Philippines,,1990,1175,1171,1193,Philippines,Asia
Philippines,,1991,1514,1514,1933,Philippines,Asia
Philippines,,1992,430,430,454,Philippines,Asia
Philippines,,1993,99,99,114,Philippines,Asia
Philippines,,1994,69,69,73,Philippines,Asia
Philippines,,1995,36,36,41,Philippines,Asia
Philippines,,1997,32,32,32,Philippines,Asia
Philippines,,1999,93,93,98,Philippines,Asia
Philippines,,2000,140,140,140,Philippines,Asia
Philippines,,2001,142,138,287,Philippines,Asia
Philippines,,2002,280,280,291,Philippines,Asia
Philippines,,2003,231,227,236,Philippines,Asia
Philippines,,2004,270,264,344,Philippines,Asia
Philippines,,2005,234,222,243,Philippines,Asia
Philippines,,2006,310,310,1018,Philippines,Asia
Philippines,,2007,132,132,1077,Philippines,Asia
Philippines,,2008,184,184,217,Philippines,Asia
Philippines,,2009,377,377,400,Philippines,Asia
Philippines,,2010,258,258,352,Philippines,Asia
Philippines,,2011,204,204,210,Philippines,Asia
Philippines,,2012,182,181,193,Philippines,Asia
Philippines,,2013,165,165,170,Philippines,Asia
Philippines,,2014,190,187,199,Philippines,Asia
Philippines,,2015,168,168,173,Philippines,Asia
Philippines,,2016,92,92,101,Philippines,Asia
Philippines,,2017,174,174,214,Philippines,Asia
Philippines,,2018,144,103,149,Philippines,Asia
Philippines,,2019,138,136,177,Philippines,Asia
Philippines,,2020,165,165,166,Philippines,Asia
Philippines,,2021,195,195,195,Philippines,Asia
Philippines,,2022,152,152,152,Philippines,Asia
Myanmar (Burma),Nagaland,1991,150,150,150,Myanmar (Burma),Asia
Myanmar (Burma),Nagaland,1995,33,33,33,Myanmar (Burma),Asia
Myanmar (Burma),Nagaland,2000,43,43,43,"Myanmar (Burma), India",Asia
Myanmar (Burma),Nagaland,2001,62,62,62,Myanmar (Burma),Asia
Myanmar (Burma),Nagaland,2005,38,23,38,Myanmar (Burma),Asia
Myanmar (Burma),Nagaland,2006,92,92,97,Myanmar (Burma),Asia
Myanmar (Burma),Nagaland,2007,215,215,215,Myanmar (Burma),Asia
"Pakistan, India",Kashmir,1989,25,25,25,India,Asia
"Pakistan, India",Kashmir,1990,28,26,28,"Pakistan, India",Asia
"Pakistan, India",Kashmir,1991,99,99,195,"Pakistan, India",Asia
"Pakistan, India",Kashmir,1992,25,25,33,India,Asia
"Pakistan, India",Kashmir,1994,42,42,42,"Pakistan, India",Asia
"Pakistan, India",Kashmir,1996,35,35,35,"Pakistan, India",Asia
"Pakistan, India",Kashmir,1997,127,127,133,"Pakistan, India",Asia
"Pakistan, India",Kashmir,1998,147,147,163,"Pakistan, India",Asia
"Pakistan, India",Kashmir,1999,934,914,1508,"Pakistan, India",Asia
"Pakistan, India",Kashmir,2000,222,221,259,"Pakistan, India",Asia
"Pakistan, India",Kashmir,2001,48,48,86,"Pakistan, India",Asia
"Pakistan, India",Kashmir,2002,212,212,233,"Pakistan, India",Asia
"Pakistan, India",Kashmir,2003,237,237,276,"Pakistan, India",Asia
"Pakistan, India",Kashmir,2013,31,31,33,"Pakistan, India",Asia
"Pakistan, India",Kashmir,2014,49,46,68,"Pakistan, India",Asia
"Pakistan, India",Kashmir,2015,63,62,64,"Pakistan, India",Asia
"Pakistan, India",Kashmir,2016,100,100,112,"Pakistan, India",Asia
"Pakistan, India",Kashmir,2017,151,151,153,"Pakistan, India",Asia
"Pakistan, India",Kashmir,2018,129,126,164,"Pakistan, India",Asia
"Pakistan, India",Kashmir,2019,164,164,175,"Pakistan, India",Asia
"Pakistan, India",Kashmir,2020,162,162,168,"Pakistan, India",Asia
Paraguay,,1989,150,17,300,Paraguay,Americas
Myanmar (Burma),Karen,1989,1000,809,1355,"Thailand, Myanmar (Burma)",Asia
Myanmar (Burma),Karen,1990,393,393,428,"Thailand, Myanmar (Burma)",Asia
Myanmar (Burma),Karen,1991,552,497,672,Myanmar (Burma),Asia
Myanmar (Burma),Karen,1992,1163,1130,1275,Myanmar (Burma),Asia
Myanmar (Burma),Karen,1994,25,15,25,Myanmar (Burma),Asia
Myanmar (Burma),Karen,1995,110,60,110,Myanmar (Burma),Asia
Myanmar (Burma),Karen,1997,41,41,41,Myanmar (Burma),Asia
Myanmar (Burma),Karen,1998,36,36,36,Myanmar (Burma),Asia
Myanmar (Burma),Karen,2000,114,112,114,"Thailand, Myanmar (Burma)",Asia
Myanmar (Burma),Karen,2001,36,36,36,"Thailand, Myanmar (Burma)",Asia
Myanmar (Burma),Karen,2002,110,108,121,Myanmar (Burma),Asia
Myanmar (Burma),Karen,2003,38,38,44,Myanmar (Burma),Asia
Myanmar (Burma),Karen,2004,27,25,28,Myanmar (Burma),Asia
Myanmar (Burma),Karen,2005,42,38,46,Myanmar (Burma),Asia
Myanmar (Burma),Karen,2006,104,79,105,Myanmar (Burma),Asia
Myanmar (Burma),Karen,2007,104,104,106,Myanmar (Burma),Asia
Myanmar (Burma),Karen,2008,33,33,36,"Thailand, Myanmar (Burma)",Asia
Myanmar (Burma),Karen,2009,63,43,79,Myanmar (Burma),Asia
Myanmar (Burma),Karen,2010,121,106,125,"Thailand, Myanmar (Burma)",Asia
Myanmar (Burma),Karen,2011,334,318,1467,Myanmar (Burma),Asia
Myanmar (Burma),Karen,2013,41,41,41,Myanmar (Burma),Asia
Myanmar (Burma),Karen,2021,78,72,911,Myanmar (Burma),Asia
Myanmar (Burma),Karen,2022,241,239,2148,Myanmar (Burma),Asia
Myanmar (Burma),,2017,46,46,46,Myanmar (Burma),Asia
Myanmar (Burma),,2018,46,34,77,Myanmar (Burma),Asia
Myanmar (Burma),,2019,49,36,91,Myanmar (Burma),Asia
Myanmar (Burma),,2021,684,595,3291,Myanmar (Burma),Asia
Myanmar (Burma),,2022,1313,1156,6342,Myanmar (Burma),Asia
Myanmar (Burma),,1990,25,25,25,Myanmar (Burma),Asia
Myanmar (Burma),,1991,25,25,25,Myanmar (Burma),Asia
Myanmar (Burma),,1992,25,25,25,Myanmar (Burma),Asia
Myanmar (Burma),,1994,25,25,25,Myanmar (Burma),Asia
Myanmar (Burma),,2013,29,29,30,Myanmar (Burma),Asia
Myanmar (Burma),,2014,37,37,203,Myanmar (Burma),Asia
Myanmar (Burma),,2015,106,106,181,Myanmar (Burma),Asia
Malaysia,Sabah,2013,70,68,122,"Philippines, Malaysia",Asia
Myanmar (Burma),Arakan,2016,86,84,129,Myanmar (Burma),Asia
Myanmar (Burma),Arakan,2017,393,393,404,Myanmar (Burma),Asia
Myanmar (Burma),Arakan,2018,27,14,87,Myanmar (Burma),Asia
Myanmar (Burma),Arakan,2019,480,365,1013,Myanmar (Burma),Asia
Myanmar (Burma),Arakan,2020,161,161,199,"Myanmar (Burma), Bangladesh",Asia
Myanmar (Burma),Arakan,2022,134,133,292,"Myanmar (Burma), Bangladesh",Asia
Myanmar (Burma),Arakan,1991,25,25,25,Myanmar (Burma),Asia
Myanmar (Burma),Arakan,1994,109,109,109,Myanmar (Burma),Asia
Myanmar (Burma),Mon,1996,80,80,80,Myanmar (Burma),Asia
Myanmar (Burma),Mon,1990,112,112,112,Myanmar (Burma),Asia
India,,1991,78,78,78,India,Asia
India,,1992,322,322,502,India,Asia
India,,1993,182,174,193,India,Asia
India,,1994,68,68,68,India,Asia
India,,1996,173,172,173,India,Asia
India,,1997,84,78,85,India,Asia
India,,1998,99,99,111,India,Asia
India,,1999,126,120,130,India,Asia
India,,2000,196,189,201,India,Asia
India,,2001,173,158,173,India,Asia
India,,2002,179,178,189,India,Asia
India,,2003,99,99,104,India,Asia
India,,2004,71,71,71,India,Asia
India,,2005,199,199,241,India,Asia
India,,2006,546,489,608,India,Asia
India,,2007,377,373,404,India,Asia
India,,2008,384,376,437,India,Asia
India,,2009,522,513,654,India,Asia
India,,2010,569,556,664,India,Asia
India,,2011,299,299,348,India,Asia
India,,2012,245,237,278,India,Asia
India,,2013,215,209,236,India,Asia
India,,2014,198,171,245,India,Asia
India,,2015,146,146,205,India,Asia
India,,2016,268,244,323,India,Asia
India,,2017,245,244,246,India,Asia
India,,2018,309,304,321,India,Asia
India,,2019,216,216,217,India,Asia
India,,2020,153,152,175,India,Asia
India,,2021,181,175,193,India,Asia
India,,2022,75,75,75,India,Asia
Yemen (North Yemen),,2016,3066,2979,3145,"Saudi Arabia, Yemen (North Yemen)",Middle East
Yemen (North Yemen),,2017,3045,2902,3476,"Saudi Arabia, Yemen (North Yemen)",Middle East
Yemen (North Yemen),,2018,4528,4446,6620,"Saudi Arabia, Yemen (North Yemen)",Middle East
Yemen (North Yemen),,2019,2588,2067,3526,"Saudi Arabia, Yemen (North Yemen)",Middle East
Yemen (North Yemen),,2020,6255,3755,16211,"Saudi Arabia, Yemen (North Yemen)",Middle East
Yemen (North Yemen),,2021,23356,22110,33633,"Saudi Arabia, Yemen (North Yemen)",Middle East
Yemen (North Yemen),,2022,2899,2116,3551,"United Arab Emirates, Yemen (North Yemen)",Middle East
Yemen (North Yemen),,2009,94,94,103,Yemen (North Yemen),Middle East
Yemen (North Yemen),,2010,175,149,244,Yemen (North Yemen),Middle East
Yemen (North Yemen),,2011,1140,1135,1195,Yemen (North Yemen),Middle East
Yemen (North Yemen),,2012,2331,2328,2416,Yemen (North Yemen),Middle East
Yemen (North Yemen),,2013,582,581,641,Yemen (North Yemen),Middle East
Yemen (North Yemen),,2014,1780,1780,2168,Yemen (North Yemen),Middle East
Yemen (North Yemen),,2015,6867,6577,7878,"Saudi Arabia, Yemen (North Yemen)",Middle East
Myanmar (Burma),Kachin,2016,32,31,47,Myanmar (Burma),Asia
Myanmar (Burma),Kachin,2017,43,43,43,Myanmar (Burma),Asia
Myanmar (Burma),Kachin,2018,26,21,52,Myanmar (Burma),Asia
Myanmar (Burma),Kachin,2019,29,29,30,Myanmar (Burma),Asia
Myanmar (Burma),Kachin,1989,194,194,194,Myanmar (Burma),Asia
Myanmar (Burma),Kachin,1990,25,25,25,Myanmar (Burma),Asia
Myanmar (Burma),Kachin,1991,25,25,25,Myanmar (Burma),Asia
Myanmar (Burma),Kachin,1992,25,25,25,Myanmar (Burma),Asia
Myanmar (Burma),Kachin,2021,136,132,503,Myanmar (Burma),Asia
Myanmar (Burma),Kachin,2022,276,273,935,Myanmar (Burma),Asia
Myanmar (Burma),Kachin,2011,209,208,574,Myanmar (Burma),Asia
Myanmar (Burma),Kachin,2012,702,676,2198,Myanmar (Burma),Asia
Myanmar (Burma),Kachin,2013,125,117,143,Myanmar (Burma),Asia
Myanmar (Burma),Kachin,2014,83,83,84,Myanmar (Burma),Asia
Myanmar (Burma),Kachin,2015,142,142,224,Myanmar (Burma),Asia
Guatemala,,1989,82,82,300,Guatemala,Americas
Guatemala,,1990,83,83,114,Guatemala,Americas
Guatemala,,1991,72,72,85,Guatemala,Americas
Guatemala,,1992,67,67,95,Guatemala,Americas
Guatemala,,1993,58,58,86,Guatemala,Americas
Guatemala,,1994,37,37,39,Guatemala,Americas
Guatemala,,1995,27,21,27,Guatemala,Americas
Israel,Palestine,1989,54,54,63,"Lebanon, Israel",Middle East
Israel,Palestine,1990,29,26,49,"Lebanon, Israel",Middle East
Israel,Palestine,1991,28,28,30,"Lebanon, Israel",Middle East
Israel,Palestine,1992,33,32,36,"Lebanon, France, Israel",Middle East
Israel,Palestine,1993,47,47,48,Israel,Middle East
Israel,Palestine,1994,44,41,45,Israel,Middle East
Israel,Palestine,1995,34,34,36,"Malta, Israel",Middle East
Israel,Palestine,1996,66,66,66,Israel,Middle East
Israel,Palestine,2000,77,74,79,Israel,Middle East
Israel,Palestine,2001,244,238,261,Israel,Middle East
Israel,Palestine,2002,613,606,669,Israel,Middle East
Israel,Palestine,2003,308,308,327,Israel,Middle East
Israel,Palestine,2004,386,372,435,"Syria, Israel",Middle East
Israel,Palestine,2005,123,117,136,Israel,Middle East
Israel,Palestine,2006,348,341,405,"Lebanon, Israel",Middle East
Israel,Palestine,2007,276,275,305,Israel,Middle East
Israel,Palestine,2008,668,580,715,Israel,Middle East
Israel,Palestine,2009,696,598,867,Israel,Middle East
Israel,Palestine,2010,27,27,27,Israel,Middle East
Israel,Palestine,2011,78,78,78,Israel,Middle East
Israel,Palestine,2012,235,236,245,Israel,Middle East
Israel,Palestine,2014,2378,2368,2383,Israel,Middle East
Israel,Palestine,2018,53,53,62,Israel,Middle East
Israel,Palestine,2019,50,50,51,"Syria, Israel",Middle East
Israel,Palestine,2021,269,269,269,Israel,Middle East
Israel,Palestine,2022,84,81,84,Israel,Middle East
Syria,Rojava Kurdistan,2012,46,39,51,Syria,Middle East
Syria,Rojava Kurdistan,2013,78,73,82,Syria,Middle East
Syria,Rojava Kurdistan,2014,52,37,61,Syria,Middle East
Syria,Rojava Kurdistan,2015,84,81,86,Syria,Middle East
Somalia,Somaliland,2018,121,105,172,Somalia,Africa
India,Nagaland,1992,47,47,47,India,Asia
India,Nagaland,1993,92,92,128,India,Asia
India,Nagaland,1994,60,58,69,India,Asia
India,Nagaland,1995,95,95,95,India,Asia
India,Nagaland,1996,40,40,40,India,Asia
India,Nagaland,1997,37,37,37,India,Asia
India,Nagaland,2000,30,18,30,India,Asia
Myanmar (Burma),Karenni,2021,62,40,317,Myanmar (Burma),Asia
Myanmar (Burma),Karenni,2022,74,61,719,Myanmar (Burma),Asia
Myanmar (Burma),Karenni,1992,404,402,404,Myanmar (Burma),Asia
